State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
LA,199,713,yes,yes,29,270.68,187,46.02,146.17,145,12.42,139.0,147,6.26,16.26,9,4.39,8,yes
TX,172,305,no,no,20,320.24,110,54.44,257.83,105,21.92,209.65,135,9.43,9.9,11,2.67,5,yes
ID,8,510,yes,yes,19,66.2,14,11.25,39.75,145,3.38,84.54,97,3.8,19.89,14,5.37,9,no
RI,175,713,no,yes,5,322.83,184,54.88,282.1,73,23.98,171.66,48,7.72,9.14,5,2.47,6,no
WY,35,646,no,yes,21,243.47,68,41.39,88.62,166,7.53,25.94,86,1.17,1.36,18,0.37,4,no
IN,206,415,yes,no,17,213.77,104,36.34,87.13,93,7.41,12.16,37,0.55,13.65,4,3.69,7,yes
MT,81,619,no,yes,7,69.94,149,11.89,206.63,153,17.56,164.06,52,7.38,0.93,19,0.25,7,yes
NJ,164,312,yes,yes,38,19.43,63,3.3,24.54,70,2.09,139.53,27,6.28,5.01,1,1.35,9,no
IN,50,202,yes,no,31,198.96,40,33.82,9.2,6,0.78,47.91,76,2.16,7.07,18,1.91,8,no
NJ,104,206,no,yes,32,228.03,70,38.77,91.36,196,7.77,240.66,156,10.83,14.79,18,3.99,5,yes
MT,132,510,no,no,15,73.77,55,12.54,188.32,64,16.01,347.52,199,15.64,9.88,3,2.67,0,yes
ID,2,212,yes,no,11,194.76,150,33.11,317.67,45,27.0,138.48,138,6.23,0.57,19,0.15,8,no
RI,134,408,no,yes,37,299.77,24,50.96,296.25,17,25.18,218.6,174,9.84,12.34,4,3.33,2,no
OK,54,917,no,no,33,292.27,104,49.69,171.66,140,14.59,337.04,172,15.17,8.23,6,2.22,8,no
WV,106,702,yes,yes,13,324.57,133,55.18,12.97,152,1.1,291.04,17,13.1,18.44,3,4.98,6,no
HI,4,510,no,yes,35,128.06,118,21.77,187.34,7,15.92,162.24,49,7.3,9.99,10,2.7,2,no
MT,54,718,yes,no,32,111.32,161,18.92,246.68,73,20.97,258.12,88,11.62,14.18,2,3.83,8,no
WV,221,512,no,no,22,262.3,190,44.59,118.71,159,10.09,44.85,176,2.02,4.38,4,1.18,6,yes
FL,191,202,no,no,49,150.89,8,25.65,38.87,144,3.3,179.24,149,8.07,15.22,19,4.11,6,yes
ID,146,407,no,no,44,30.64,59,5.21,97.5,101,8.29,97.67,44,4.4,14.42,14,3.89,6,yes
TX,218,503,yes,yes,1,98.98,124,16.83,270.06,78,22.96,56.41,188,2.54,18.08,17,4.88,1,no
MO,44,408,no,yes,40,146.5,48,24.9,122.94,78,10.45,149.2,126,6.71,0.68,15,0.18,3,no
RI,162,408,yes,yes,20,102.38,50,17.4,284.19,120,24.16,45.86,92,2.06,8.95,15,2.42,9,no
MO,202,404,yes,no,1,116.27,187,19.77,111.83,175,9.51,244.64,20,11.01,13.58,9,3.67,7,yes
IN,190,212,no,yes,26,102.82,69,17.48,57.24,62,4.87,159.68,198,7.19,1.9,0,0.51,1,no
WY,228,206,yes,no,8,14.52,36,2.47,152.55,39,12.97,185.9,188,8.37,8.21,10,2.22,3,no
WY,14,718,yes,no,0,222.98,30,37.91,158.3,83,13.46,51.23,75,2.31,18.84,16,5.09,9,yes
RI,95,702,yes,yes,10,209.05,168,35.54,5.64,14,0.48,48.92,163,2.2,8.72,14,2.35,7,no
HI,48,510,no,no,2,228.68,61,38.88,40.97,98,3.48,204.2,151,9.19,19.71,6,5.32,2,yes
VA,15,202,yes,yes,22,67.31,92,11.44,64.72,133,5.5,344.75,159,15.51,1.14,5,0.31,5,no
HI,200,619,no,no,25,103.48,185,17.59,39.76,120,3.38,33.69,90,1.52,14.36,14,3.88,1,yes
ID,206,510,yes,no,3,216.87,13,36.87,119.53,62,10.16,100.01,186,4.5,11.62,14,3.14,7,yes
NY,215,212,yes,yes,17,209.87,163,35.68,337.62,135,28.7,304.31,95,13.69,10.01,6,2.7,7,no
IN,249,212,no,no,5,177.22,163,30.13,178.23,127,15.15,25.3,95,1.14,19.42,2,5.24,0,yes
MO,190,404,no,yes,34,122.64,78,20.85,219.64,111,18.67,306.56,74,13.8,2.59,13,0.7,2,yes
CO,40,713,no,yes,21,319.53,7,54.32,124.74,110,10.6,183.5,109,8.26,17.92,8,4.84,1,yes
FL,213,312,no,no,42,118.92,153,20.22,113.22,31,9.62,142.89,81,6.43,13.82,2,3.73,6,no
OK,208,718,yes,no,14,159.47,35,27.11,8.1,44,0.69,108.39,127,4.88,5.18,5,1.4,6,yes
NJ,237,619,yes,yes,21,237.34,47,40.35,175.12,121,14.89,103.99,102,4.68,18.03,19,4.87,3,yes
MA,82,718,yes,no,36,190.06,84,32.31,169.26,179,14.39,107.03,132,4.82,8.59,8,2.32,7,no
MO,111,718,yes,no,41,121.41,27,20.64,55.24,81,4.7,309.68,143,13.94,16.28,0,4.4,2,no
LA,53,510,yes,yes,11,152.48,195,25.92,267.51,12,22.74,253.33,138,11.4,7.78,8,2.1,8,no
VA,24,407,no,no,46,278.07,189,47.27,172.44,23,14.66,234.4,34,10.55,17.02,11,4.6,4,yes
NH,154,512,no,no,48,97.35,50,16.55,118.65,167,10.09,279.56,111,12.58,12.73,3,3.44,1,no
OK,217,408,yes,no,41,49.79,103,8.46,51.42,13,4.37,89.99,169,4.05,2.82,15,0.76,8,no
ID,188,415,yes,yes,37,109.61,169,18.63,193.26,69,16.43,216.31,86,9.73,12.99,4,3.51,0,no
ID,124,646,no,no,17,297.34,100,50.55,263.49,61,22.4,161.02,118,7.25,3.83,16,1.03,7,no
NH,237,503,yes,yes,44,31.15,28,5.3,98.7,119,8.39,273.85,97,12.32,8.24,16,2.22,5,yes
TX,41,713,yes,yes,34,347.09,126,59.01,76.58,88,6.51,108.24,80,4.87,3.41,5,0.92,0,no
CO,157,917,no,yes,29,189.35,81,32.19,182.68,188,15.53,225.11,137,10.13,0.44,14,0.12,3,no
RI,15,718,no,yes,23,344.7,9,58.6,54.37,0,4.62,308.77,81,13.89,4.24,0,1.14,2,yes
WY,45,206,yes,yes,41,328.65,105,55.87,233.31,193,19.83,140.75,135,6.33,10.73,12,2.9,6,no
OH,65,415,yes,no,29,158.48,166,26.94,211.87,125,18.01,23.32,25,1.05,9.63,15,2.6,6,no
MA,89,503,no,no,13,69.47,0,11.81,30.48,31,2.59,180.62,2,8.13,10.03,1,2.71,5,no
WY,71,917,yes,no,5,57.71,38,9.81,12.78,140,1.09,121.09,58,5.45,4.95,18,1.34,9,no
RI,9,510,no,yes,2,84.0,20,14.28,217.1,160,18.45,235.28,115,10.59,13.7,1,3.7,9,no
MT,88,212,yes,yes,15,248.55,64,42.25,103.0,31,8.76,332.86,130,14.98,14.09,11,3.8,7,yes
MA,129,718,no,no,6,95.53,14,16.24,30.26,55,2.57,169.96,165,7.65,7.16,11,1.93,6,yes
IA,236,212,yes,no,13,119.5,131,20.32,265.8,151,22.59,163.17,129,7.34,17.62,7,4.76,3,no
VA,136,512,yes,no,8,157.07,187,26.7,109.92,90,9.34,229.1,144,10.31,12.88,11,3.48,6,no
LA,216,619,no,no,14,319.63,60,54.34,160.86,3,13.67,36.22,35,1.63,14.26,10,3.85,0,yes
TX,63,713,no,no,20,66.29,147,11.27,82.88,22,7.04,88.73,85,3.99,5.55,1,1.5,2,no
OH,139,206,no,no,34,1.76,137,0.3,219.56,28,18.66,321.64,97,14.47,0.01,0,0.0,1,no
RI,243,404,no,no,1,21.03,86,3.58,105.52,97,8.97,234.48,123,10.55,17.31,3,4.67,6,yes
CO,81,718,yes,yes,26,316.67,104,53.83,338.81,148,28.8,4.71,72,0.21,16.45,8,4.44,8,yes
LA,136,202,no,no,1,226.63,33,38.53,246.03,29,20.91,71.62,109,3.22,2.46,6,0.66,4,no
CO,163,305,yes,no,34,95.56,123,16.25,47.85,89,4.07,238.99,121,10.75,7.48,9,2.02,8,no
MA,163,510,yes,yes,17,62.02,109,10.54,145.84,147,12.4,267.54,129,12.04,13.23,19,3.57,7,no
IA,33,202,no,no,13,102.99,175,17.51,134.9,143,11.47,293.95,161,13.23,13.04,13,3.52,0,no
CO,123,214,yes,yes,19,40.18,32,6.83,186.99,66,15.89,102.26,26,4.6,17.21,0,4.65,1,yes
NH,5,415,yes,yes,17,329.54,97,56.02,294.68,176,25.05,325.86,164,14.66,2.81,4,0.76,5,yes
WV,234,415,yes,no,9,274.47,60,46.66,204.2,100,17.36,193.53,198,8.71,8.6,12,2.32,4,yes
MO,231,415,yes,yes,24,161.84,9,27.51,21.54,57,1.83,243.79,149,10.97,1.94,5,0.52,6,yes
NY,41,312,no,no,1,302.74,181,51.47,229.4,171,19.5,208.86,67,9.4,7.79,16,2.1,8,yes
LA,28,408,no,no,24,87.31,83,14.84,2.89,24,0.25,42.96,13,1.93,0.3,14,0.08,3,no
WY,135,312,no,yes,32,250.99,64,42.67,272.99,22,23.2,337.09,97,15.17,17.97,6,4.85,7,yes
CO,201,917,yes,yes,35,299.65,76,50.94,233.32,186,19.83,43.01,22,1.94,10.54,7,2.85,3,no
OH,72,407,no,no,30,124.87,0,21.23,108.07,128,9.19,89.21,171,4.01,17.0,1,4.59,2,yes
NH,12,415,yes,no,13,265.11,132,45.07,102.35,96,8.7,284.77,192,12.81,1.2,17,0.32,1,yes
MT,162,407,yes,no,0,103.28,79,17.56,279.4,142,23.75,216.51,114,9.74,4.55,6,1.23,7,no
FL,33,917,yes,yes,45,104.6,14,17.78,274.17,127,23.3,293.35,111,13.2,5.19,19,1.4,7,yes
OH,48,619,no,yes,15,37.47,27,6.37,123.31,80,10.48,180.51,95,8.12,7.73,15,2.09,2,no
MA,247,312,no,yes,45,154.02,22,26.18,104.63,179,8.89,131.95,77,5.94,16.06,18,4.34,0,yes
NY,151,415,no,yes,2,255.4,108,43.42,195.94,185,16.65,322.65,60,14.52,7.73,8,2.09,5,no
IA,62,202,yes,yes,34,329.08,106,55.94,2.93,168,0.25,12.69,84,0.57,4.09,11,1.1,4,yes
IN,216,702,yes,no,40,211.33,144,35.93,28.93,171,2.46,299.65,182,13.48,1.3,13,0.35,7,yes
NJ,37,619,yes,yes,5,302.1,112,51.36,44.16,3,3.75,80.79,70,3.64,1.59,6,0.43,5,no
IN,99,212,no,yes,24,287.87,97,48.94,64.89,195,5.52,297.06,84,13.37,15.2,1,4.1,3,no
HI,172,202,yes,no,12,60.67,140,10.31,179.21,134,15.23,48.72,49,2.19,8.9,16,2.4,9,yes
OK,104,702,yes,no,33,170.04,141,28.91,347.28,45,29.52,203.08,139,9.14,14.52,10,3.92,9,yes
OK,214,415,no,yes,7,40.92,138,6.96,228.41,8,19.41,310.84,14,13.99,13.65,17,3.69,1,no
FL,219,510,yes,yes,20,238.75,27,40.59,21.45,160,1.82,165.74,144,7.46,2.71,11,0.73,7,yes
OK,35,407,yes,yes,33,332.46,41,56.52,183.95,32,15.64,261.3,33,11.76,2.86,2,0.77,4,no
WY,193,408,no,no,3,47.98,98,8.16,173.83,83,14.78,281.64,34,12.67,15.11,13,4.08,7,yes
MO,227,713,no,no,24,256.86,60,43.67,50.46,131,4.29,257.77,38,11.6,14.43,14,3.9,4,no
MO,101,404,yes,yes,14,221.28,122,37.62,322.1,64,27.38,323.87,182,14.57,7.56,18,2.04,5,yes
FL,175,718,no,yes,3,204.26,63,34.72,154.27,105,13.11,156.39,186,7.04,1.55,9,0.42,9,yes
WY,206,619,no,yes,44,136.54,30,23.21,348.1,33,29.59,60.59,132,2.73,0.24,8,0.06,4,yes
LA,131,512,no,no,11,124.3,80,21.13,147.03,84,12.5,16.73,29,0.75,5.76,9,1.56,2,no
RI,1,206,no,no,31,15.84,9,2.69,212.79,87,18.09,86.26,131,3.88,0.18,19,0.05,9,no
CO,5,713,yes,yes,31,76.27,7,12.97,36.67,191,3.12,50.12,142,2.26,4.6,3,1.24,7,yes
NH,218,214,yes,no,27,5.31,148,0.9,158.98,152,13.51,195.28,102,8.79,8.39,18,2.27,2,no
VA,247,646,no,yes,12,203.5,58,34.6,83.57,54,7.1,64.73,162,2.91,2.43,9,0.66,3,yes
WV,142,702,yes,yes,30,37.05,177,6.3,292.45,136,24.86,13.63,73,0.61,2.09,16,0.56,5,yes
WY,103,510,yes,yes,13,305.56,196,51.95,274.37,16,23.32,12.6,54,0.57,17.93,11,4.84,1,no
WV,27,408,no,yes,19,183.1,197,31.13,288.46,148,24.52,291.05,193,13.1,11.71,0,3.16,6,yes
IA,137,512,yes,no,17,244.89,29,41.63,253.26,187,21.53,207.01,59,9.32,18.69,10,5.05,4,no
ID,207,510,no,no,28,143.8,144,24.45,291.44,140,24.77,125.33,23,5.64,6.92,12,1.87,9,yes
NY,15,408,no,no,5,196.2,19,33.35,70.29,130,5.97,312.98,21,14.08,13.54,0,3.66,4,yes
TX,90,305,no,yes,31,329.93,47,56.09,158.22,195,13.45,24.57,171,1.11,4.09,0,1.1,4,no
CO,42,917,no,no,28,28.96,129,4.92,242.15,3,20.58,343.11,31,15.44,12.37,15,3.34,1,yes
TX,124,415,yes,yes,42,88.88,36,15.11,223.09,6,18.96,215.7,94,9.71,2.59,6,0.7,9,yes
MA,205,415,yes,no,1,273.0,128,46.41,250.72,25,21.31,64.21,82,2.89,0.04,9,0.01,8,yes
IN,179,619,yes,no,22,34.56,131,5.88,78.49,23,6.67,237.67,178,10.7,18.63,15,5.03,2,no
IN,63,407,no,no,18,26.48,99,4.5,34.45,9,2.93,267.18,2,12.02,11.1,0,3.0,6,no
OK,96,312,no,no,30,126.54,53,21.51,320.88,12,27.27,150.27,69,6.76,18.54,8,5.01,4,no
MT,231,407,no,no,4,32.26,121,5.48,196.06,124,16.67,301.57,159,13.57,6.68,5,1.8,9,yes
OH,241,206,yes,yes,18,204.78,24,34.81,53.84,171,4.58,52.76,129,2.37,6.56,14,1.77,9,no
HI,52,206,no,yes,33,79.2,130,13.46,277.7,38,23.6,97.59,87,4.39,8.01,3,2.16,4,no
WY,96,619,no,yes,9,313.49,8,53.29,320.23,146,27.22,32.72,108,1.47,14.12,14,3.81,3,yes
IN,132,510,no,yes,24,274.23,33,46.62,59.35,178,5.04,73.81,58,3.32,11.32,9,3.06,9,yes
HI,222,214,no,yes,1,244.9,42,41.63,286.09,18,24.32,83.56,76,3.76,18.51,15,5.0,5,no
IN,229,214,yes,no,10,215.93,73,36.71,326.63,75,27.76,321.17,13,14.45,0.51,12,0.14,6,no
OH,151,415,yes,yes,49,302.21,93,51.38,328.43,51,27.92,27.34,50,1.23,14.16,18,3.82,6,yes
OK,231,718,no,yes,30,78.07,21,13.27,319.95,174,27.2,149.6,138,6.73,6.61,19,1.78,7,no
NJ,237,305,yes,no,14,305.59,69,51.95,191.25,119,16.26,186.34,77,8.39,3.6,3,0.97,4,no
IN,143,510,no,no,8,276.32,129,46.97,124.67,157,10.6,314.54,79,14.15,10.21,19,2.76,6,yes
OK,171,312,no,yes,22,261.86,93,44.52,2.55,45,0.22,349.19,9,15.71,10.1,15,2.73,3,no
NJ,29,510,no,yes,18,196.44,193,33.39,21.32,148,1.81,263.69,79,11.87,2.74,10,0.74,8,no
MT,36,407,yes,no,8,86.19,31,14.65,150.09,74,12.76,339.78,123,15.29,4.04,14,1.09,4,no
OK,13,917,no,no,34,148.24,105,25.2,139.76,123,11.88,275.49,185,12.4,8.16,10,2.2,2,no
CO,160,718,no,no,20,277.75,143,47.22,64.65,47,5.5,337.12,33,15.17,8.18,10,2.21,4,yes
IN,71,214,yes,no,8,11.12,0,1.89,138.42,61,11.77,247.54,120,11.14,6.35,2,1.71,8,yes
RI,187,404,yes,yes,27,273.72,71,46.53,61.13,57,5.2,27.92,79,1.26,2.97,16,0.8,7,yes
FL,243,619,no,yes,45,84.02,175,14.28,297.08,17,25.25,140.67,52,6.33,0.09,4,0.02,0,no
WV,86,512,yes,no,6,50.51,49,8.59,104.37,107,8.87,226.31,155,10.18,19.4,12,5.24,4,yes
WY,28,510,no,yes,15,40.5,140,6.89,209.5,186,17.81,122.75,17,5.52,18.87,9,5.09,5,yes
MO,66,312,yes,yes,15,9.54,14,1.62,176.0,47,14.96,95.68,153,4.31,9.67,4,2.61,9,no
HI,170,206,no,no,32,183.26,52,31.15,18.16,62,1.54,202.09,101,9.09,19.9,11,5.37,1,no
HI,45,202,no,yes,3,76.39,171,12.99,329.78,11,28.03,326.73,134,14.7,13.47,7,3.64,5,no
FL,62,415,no,no,3,346.3,7,58.87,184.53,33,15.69,12.24,172,0.55,1.38,11,0.37,8,yes
IN,185,202,no,no,38,201.05,73,34.18,113.77,188,9.67,269.23,97,12.12,2.35,15,0.63,3,yes
FL,245,510,yes,yes,39,48.26,45,8.2,55.34,101,4.7,252.95,44,11.38,18.32,1,4.95,2,no
VA,134,206,yes,yes,16,241.07,68,40.98,118.48,86,10.07,337.38,198,15.18,12.6,2,3.4,8,yes
WV,28,212,yes,yes,36,314.21,113,53.42,7.18,180,0.61,325.75,34,14.66,16.86,17,4.55,1,no
MA,28,503,no,yes,38,260.81,146,44.34,127.25,24,10.82,266.78,179,12.01,17.97,16,4.85,8,yes
MA,108,415,no,yes,28,26.75,165,4.55,186.02,189,15.81,182.14,113,8.2,8.96,1,2.42,9,no
VA,44,415,yes,yes,35,313.56,122,53.31,305.15,131,25.94,71.49,20,3.22,0.97,11,0.26,1,yes
NY,84,415,no,yes,37,277.88,138,47.24,240.58,140,20.45,190.83,155,8.59,3.77,16,1.02,9,no
VA,30,312,yes,no,38,55.41,116,9.42,39.05,169,3.32,267.87,95,12.05,1.33,5,0.36,2,no
VA,190,646,no,no,49,18.13,42,3.08,51.71,48,4.4,313.48,43,14.11,3.77,16,1.02,6,yes
TX,75,212,no,yes,36,195.06,19,33.16,149.84,77,12.74,276.4,79,12.44,8.21,1,2.22,1,no
NJ,128,408,no,yes,34,54.61,147,9.28,68.5,183,5.82,68.34,55,3.08,2.36,7,0.64,0,no
MA,247,718,yes,yes,6,292.11,20,49.66,9.75,174,0.83,209.89,137,9.45,3.33,13,0.9,8,no
NJ,92,408,yes,yes,26,125.42,81,21.32,281.76,135,23.95,116.26,150,5.23,8.92,5,2.41,5,no
ID,217,646,yes,yes,27,319.51,56,54.32,6.83,54,0.58,3.22,175,0.14,6.8,8,1.84,8,no
MT,231,702,no,yes,21,197.99,177,33.66,290.74,17,24.71,70.08,179,3.15,9.35,0,2.52,2,no
MA,190,713,yes,no,13,63.94,73,10.87,50.44,34,4.29,39.63,142,1.78,8.58,4,2.32,2,no
IN,225,407,no,yes,6,48.86,97,8.31,341.14,159,29.0,294.95,54,13.27,12.89,6,3.48,9,no
